#separator:tab
#html:false
5.11 语法 （37） there is there are 的注意点（否定，缩写， it's）  听力（2023河北 独白1） 1. 我告诉你我会迟到那个聚会 2. 7点会完成  单词 1. 城堡 2. 太阳系 3. 橄榄球 4. 英语字母表 5. 医院 6. 州	1. castle 2. rugby  i‘ll be a little late for the party. It can be done at about 7 o'clock
5.11 there was/were. there has/have been. there will be. 1. 语法 关于过去式、现在完成时、一般将来时 2. 单词 地毯 书架 盗窃 星期	
5.12 it it‘s 后面常见用法 问家到公司多远？It's nice to , 表示这是很好的去， 还有哪些用法 it和there的区别是什么it's a long way 用在什么时候	1. 时间，日期，距离，天气 2. How far is it from our house to the company? 3. easy difficult dangerous safe nice interesting wonderful terrible   “it” 通常指代特定的事物 ：一般用来指代前文已经提到过的具体事物、时间、距离、天气、环境等，也可以指代动物，或者用于指代性别不明的 there” 通常不指代具体事物，而是表示存在或某处 主要用于表示某地或某时存在某人或某物
5.13 in on at 表地点	in 在什么里面 on 在什么上， 注意on a bike, on a horse, at 在什么点，at the bus stop, at the door, at the top, at the bottom, at the end of
5.14 in at on 地点 in 和 on 在交通工具的区别 在聚会， 在二楼, 在诊所	in a car, in a taxi, on the bus, on the train, on the plane,  at a party, on the second floor， at the doctor‘s
5.15. to in at 1. 什么时候用to 2. in和at  3. home 的用法 4. get to 5. arrive at|in	1. go come return walk  2. be/stay/do something (at\on) 3. go come walk不带to，arrive home 3. 加地点
5.16 不定式 working going doing  1. 接动词原型的情况有哪些 2. 传递盐 3. 我没有在听它	1. 情态动词9（ shall will can could must might may should would ）   短语 5  （have to、 going to、 use to 、want to 、would like to） do dose did 2 2. pass the salt
5.17 动词不定式 1. 只接to do的 2. 直接doing 3. 都能接的 4. would + 【】+ to do	1. want、plan、try、hope、expect、offer、forget、need、promise、refuce、learn -------------------------------- I want to learn English well, so I plan to read more books and practice speaking every day. I try to be confident and hope to be fluent soon. My friends expect me to be better at it and often offer to help me. I must remember not to forget to review what I've learned and promise to be persistent. Even if I refuse to be discouraged when facing difficulties, I know I need to be patient. ---------------------------- 2. enjoy stop finish mind suggest  3. like love prefer hate start begin continue  4. would
5.20 听力 23 广东 独白1  1. 英雄 2. frank 想去看 3. 如...等  4. 铃响了 5. 去公园旅游 6. 比这更糟糕 7. 找一个地方避雨 8. 就在他快要哭的	1. heroes 2.  3. such as tigers, bears and so on 4. there goes the bell 5. went on a trip to a zoo. 6. what was wores. 7. to keep out of the rain 8. just as he was about to cry.
5.22 听力 23甘肃 短对话  1. 微笑。科学家。雨伞。可能。 2. 我待到很晚睡觉	smile scientist umbrella perhaps i stayed up to late last night
5.24 i want you to\ i told you to 1. i 【动词】+ 【somebody】+ to... 关键点 2. make 和let 用法 3. 动词有哪些 7个	ask tell advise expect persuade teach
5.26 听力 23安徽独白 1. 我打算在我学习的时做一些兼职 2. 组建一个乐队 3. 一半的歌是我写的	1. i plan to find a part time job while studing there 2. formed a music group 3. half of songs were written by me.
5.27 听力 23安徽独白2  1. cheer someone up 2. 帮助别人完成任务 3. and it's something 连读 4. 首先 5. 简单的方法 6. 微笑传播善意 7. 赞美他人 8. 总之	2. helping someone with a task 4. first of all 5. simple way 6. smiles spread the message 7. praise someone 8 all in all
5.28 听力 23安徽长对话 单词 自制有意义的 几个问题拯救图书馆举办的活动比赛	homemademeaningfula couple of questionsurveyheld by the librarycompetition
